;value;words
0;-0.0048;hinterhalt
0;-0.0048;hinterhaltes
0;-0.0048;hinterhalts
0;-0.0048;hinterhalte
0;-0.0048;hinterhalten
0;-0.0048;nan
0;-0.0048;hohn
0;-0.0048;hohnes
0;-0.0048;hohns
0;-0.0509;horror
0;-0.0509;horrors
0;-0.3531;hunger
0;-0.3531;hungers
0;-0.4739;hungersnot
0;-0.4739;hungersnoeten
0;-0.4739;hungersnoete
0;-0.0048;hungertod
0;-0.0048;hungertods
0;-0.0048;hungertodes
0;-0.0048;hungertode
0;-0.0048;hungertoden
0;-0.3386;hysterie
0;-0.3386;hysterien
0;-0.0446;haerte
0;-0.0446;haerten
0;-0.5052;hoelle
0;-0.5052;hoellen
0;-0.0048;idiot
0;-0.0048;idioten
0;-0.0048;illegalitaet
0;-0.0048;illegalitaeten
0;-0.0048;nan
0;-0.0048;ineffizienz
0;-0.0048;ineffizienzen
0;-0.2059;infektion
0;-0.2059;infektionen
0;-0.0048;infiltration
0;-0.0048;infiltrationen
0;-0.3462;inflation
0;-0.3462;inflationen
0;-0.0048;inkompetenz
0;-0.0048;inkompetenzen
0;-0.0455;inkonsequenz
0;-0.0455;inkonsequenzen
0;-0.3097;inkonsistenz
0;-0.3097;inkonsistenzen
0;-0.3358;instabilitaet
0;-0.3358;instabilitaeten
0;-0.1975;intervention
0;-0.1975;interventionen
0;-0.0048;invasion
0;-0.0048;invasionen
0;-0.3453;isolation
0;-0.3453;isolationen
0;-0.4613;jammer
0;-0.4613;jammers
0;-0.0048;jaehzorn
0;-0.0048;jaehzorns
0;-0.0048;jaehzornes
0;-0.5372;kampf
0;-0.5372;kampfs
0;-0.5372;kampfes
0;-0.5372;kampfe
0;-0.5372;kaempfe
0;-0.5372;kaempfen
0;-0.0048;kapitalverbrechen
0;-0.0048;kapitalverbrechens
0;-0.0048;kapitulation
0;-0.0048;kapitulationen
0;-0.5027;katastrophe
0;-0.5027;katastrophen
0;-0.0048;keim
0;-0.0048;keims
0;-0.0048;keime
0;-0.0048;keimes
0;-0.0048;keimen
0;-0.0048;klage
0;-0.0048;klagen
0;-0.48;klischee
0;-0.48;klischees
0;-0.3673;klaeger
0;-0.3673;klaegers
0;-0.3673;klaegern
0;-0.0048;knappheit
0;-0.0048;knappheiten
0;-0.0048;kollaps
0;-0.0048;kollapses
0;-0.0048;kollapsen
0;-0.0048;kollapse
0;-0.3323;kollision
0;-0.3323;kollisionen
0;-0.0048;komplikation
0;-0.0048;komplikationen
0;-0.0048;konflikt
0;-0.0048;konfliktes
0;-0.0048;konflikte
0;-0.0048;konflikts
0;-0.0048;konflikten
0;-0.0048;konfrontation
0;-0.0048;konfrontationen
0;-0.0048;konjunkturrueckgang
0;-0.0048;konjunkturrueckgange
0;-0.0048;konjunkturrueckganges
0;-0.0048;konjunkturrueckgangs
0;-0.0048;konjunkturrueckgaenge
0;-0.0048;konjunkturrueckgaengen
0;-0.0461;konkurrenz
0;-0.0461;konkurrenzen
0;-0.0494;konkurrenzkampf
0;-0.0494;konkurrenzkampfs
0;-0.0494;konkurrenzkampfes
0;-0.0494;konkurrenzkampfe
0;-0.0494;konkurrenzkaempfen
0;-0.0494;konkurrenzkaempfe
0;-0.0048;konkurs
0;-0.0048;konkurse
0;-0.0048;konkurses
0;-0.0048;konkursen
0;-0.3329;kontroverse
0;-0.3329;kontroversen
0;-0.1993;kopfschmerz
0;-0.1993;kopfschmerze
0;-0.1993;kopfschmerzes
0;-0.1993;kopfschmerzen
0;-0.3439;korruption
0;-0.3439;korruptionen
0;-0.0048;kostspieligkeit
0;-0.0048;kostspieligkeiten
0;-0.0048;krach
0;-0.0048;kraechen
0;-0.0048;kraeche
0;-0.0048;krachs
0;-0.0048;kraches
0;-0.0048;krachen
0;-0.0048;kraechen
0;-0.0048;krachens
0;-0.6858;krankheit
0;-0.6858;krankheiten
0;-0.5364;krieg
0;-0.5364;kriegs
0;-0.5364;krieges
0;-0.5364;kriegen
0;-0.5364;kriege
0;-0.0048;nan
0;-0.3621;krise
0;-0.3621;krisen
0;-0.5308;kritik
0;-0.5308;kritiken
0;-0.6494;kritiker
0;-0.6494;kritikers
0;-0.6494;kritikern
0;-0.0048;kraenkung
0;-0.0048;kraenkungen
0;-0.3203;krueppel
0;-0.3203;krueppeln
0;-0.3203;krueppels
0;-0.0048;kurseinbruch
0;-0.0048;kurseinbruchs
0;-0.0048;kurseinbrueche
0;-0.0048;kurseinbruches
0;-0.0048;kurseinbruechen
0;-0.0048;nan
0;-0.0048;kuendigung
0;-0.0048;kuendigungen
0;-0.341;kuerzung
0;-0.341;kuerzungen
0;-0.0377;nan
0;-0.0443;langweiler
0;-0.0443;langweilern
0;-0.0443;langweilers
0;-0.0048;last
0;-0.0048;lasten
0;-0.0048;launenhaftigkeit
0;-0.0048;launenhaftigkeiten
0;-0.0048;lebensgefahr
0;-0.0048;lebensgefahren
0;-0.0048;nan
0;-0.0048;nan
0;-0.3253;leichtsinn
0;-0.3253;leichtsinns
0;-0.3253;leichtsinnes
0;-0.0371;leichtsinnsfehler
0;-0.0371;leichtsinnsfehlers
0;-0.0371;leichtsinnsfehlern
0;-0.5056;leid
0;-0.5056;leides
0;-0.5056;leids
0;-0.5056;leide
0;-0.0048;leidende
0;-0.0048;leidendem
0;-0.0048;leidenden
0;-0.0048;leidender
0;-0.0048;liquidation
0;-0.0048;liquidationen
0;-0.0048;laehmung
0;-0.0048;laehmungen
0;-0.0048;loeschung
0;-0.0048;loeschungen
0;-0.5;luege
0;-0.5;luegen
0;-0.4767;luegner
0;-0.4767;luegnern
0;-0.4767;luegners
0;-0.1813;makel
0;-0.1813;makels
0;-0.1813;makeln
0;-0.3669;mangel
0;-0.3669;mangels
0;-0.3669;maengel
0;-0.3669;maengeln
0;-0.3455;manipulation
0;-0.3455;manipulationen
0;-0.0048;massaker
0;-0.0048;massakern
0;-0.0048;massakers
0;-0.0048;masslosigkeit
0;-0.0048;masslosigkeiten
0;-0.1859;melancholie
0;-0.1859;melancholien
0;-0.0048;melodrama
0;-0.0048;melodramen
0;-0.0048;melodramas
0;-0.0048;merkwuerdigkeit
0;-0.0048;merkwuerdigkeiten
0;-0.0048;minderung
0;-0.0048;minderungen
0;-0.3201;minderwertigkeit
0;-0.3201;minderwertigkeiten
0;-0.0048;missachtung
0;-0.0048;missachtungen
0;-0.0048;missbrauch
0;-0.0048;missbraeuchen
0;-0.0048;missbrauches
0;-0.0048;missbraeuche
0;-0.0048;missbrauchs
0;-0.0048;missbrauche
0;-0.0472;missgeschick
0;-0.0472;missgeschicken
0;-0.0472;missgeschicks
0;-0.0472;missgeschicke
0;-0.0472;missgeschickes
0;-0.0048;nan
0;-0.4778;misstrauen
0;-0.4778;misstrauens
0;-0.0048;misstrauensantrag
0;-0.0048;misstrauensantraege
0;-0.0048;misstrauensantraegen
0;-0.0048;misstrauensantrages
0;-0.0048;misstrauensantrags
0;-0.0048;misstrauensantrage
0;-0.4756;missverstaendnis
0;-0.4756;missverstaendnisse
0;-0.4756;missverstaendnisses
0;-0.4756;missverstaendnissen
0;-0.1732;mist
0;-0.1732;mists
0;-0.1732;mistes
0;-0.1732;miste
0;-0.0048;nan
0;-0.0048;nan
0;-0.0048;monotonie
0;-0.0048;monotonien
0;-0.3595;mord
0;-0.3595;mordes
0;-0.3595;morde
0;-0.3595;mords
0;-0.3595;morden
0;-0.0048;nan
0;-0.1995;nan
0;-0.0048;muehe
0;-0.0048;muehen
0;-0.3377;muell
0;-0.3377;muells
0;-0.3377;muelles
0;-0.0048;nachlaessigkeit
0;-0.0048;nachlaessigkeiten
0;-0.8102;nachteil
0;-0.8102;nachteilen
0;-0.8102;nachteile
0;-0.8102;nachteils
0;-0.8102;nachteiles
0;-0.0048;nan
0;-0.335;narr
0;-0.335;narren
0;-0.3155;nan
0;-0.4729;neid
0;-0.4729;neides
0;-0.4729;neids
0;-0.4729;neide
