id;keyword;context
Protocol_1905_03_31_02;sexu;recht deutlich erkennen laesst bestrebungen homosexuellen fuehren homosexuelle verkehr gefaehrdet sittlichkeit
Protocol_1905_03_31_02;sexu;seele kinder schwachen vergiftet umsichgreifen homosexualitaet waechst gefahr allgemeinen degeneration menschengeschlechts
Protocol_1905_03_31_02;sexu;erschreckende anwachsen flut homosexueller schmutz literatur deutlich beweist gaenzliche
Protocol_1905_03_31_02;sexu;aushebung 175 gleichbedeutend offiziellen sanktionierung homosexualitaet gleichsetzung normalen verkehr weib bloch
Protocol_1905_03_31_02;sexu;anlass strafbestimmung paragraph175 aufrecht erhalten homosexuale verkehr unsittlichkeit tiefsten grunde herzens
Protocol_1905_03_31_02;gleichgeschl;deutschen staaten bieten lautes zeugnis gleichgeschlechtlichen verkehr schwere sittliche verirrung strafbare
Protocol_1905_03_31_02;gleichgeschl;laxen gingen griechen auftauchenden auffassung gleichgeschlechtliche verkehr naturanlage entspringe naturnotwendig billigen
Protocol_1905_03_31_02;gleichgeschl;standpunkt moralischen verwerflichkeit krimineller strafbarkeit gleichgeschlechtlicher handlungen entscheidung staat berechtigt laster
Protocol_1905_03_31_02;eulenburg;koerperlichgeistigen gebrechens (hoert hoert rechts) eulenburg realenzyklopaedie bemerkt kontraerer sexualitaet leidenden
Protocol_1905_03_31_02;hirschfeld;wissenschaft darstellen wissenschaft deretwillen  magnus hirschfeld humanitaerwissenschaftlichen komitee welt verlangt tausendjaehrigen
Protocol_1905_03_31_02;hirschfeld;ursache erblicken ursache naturanlage magnus hirschfeld unterscheidet jahrbuch sexuelle zwischenstufen jahrgang
Protocol_1905_03_31_02;hirschfeld;thiele zitierten vielfachen enqueten  magnus hirschfeld juengst veranstaltet gerichtliche bestrafung eingetragen
Protocol_1905_03_31_02;hirschfeld;beruehmte humanitaerwissenschaftliche komitee spitze magnus hirschfeld charlottenburg entfaltet ungemeine taetigkeit reichte
Protocol_1905_03_31_02;komitee;wissenschaft deretwillen  magnus hirschfeld humanitaerwissenschaftlichen komitee welt verlangt tausendjaehrigen grundsaetze resultate
Protocol_1905_03_31_02;komitee;geschichte einfach papierkorb werfen humanitaerwissenschaftliche komitee verlangt beruecksichtigung wissenschaft vertreter worte
Protocol_1905_03_31_02;komitee;grunde standpunkt neuesten jahrbuche humanitaeren komitees 1904 6 entschieden aufgegeben heisst
Protocol_1905_03_31_02;komitee;paragraf 175 bildete beruehmte humanitaerwissenschaftliche komitee spitze magnus hirschfeld charlottenburg entfaltet
Protocol_1905_03_31_02;komitee;ungemeine taetigkeit reichte petition komitee anhaenger kontraersexuellen gerichtliche straflosigkeit soziale
Protocol_1905_03_31_02;komitee;fortpflanzung erhaltung gestellt erscheint anschauung komitees unnatuerlich widersprechend bezeichnet homosexualitaet formales
Protocol_1905_03_31_02;komitee;entwicklungsstadien begruendetes anormales pathologisches humanitaere komitee homosexuelle betaetigung erlaubt erklaert autoren
Protocol_1905_03_31_02;komitee;gegangen anschauungen komitee stuetzt krafftebing schrift der kontraersexuale
Protocol_1905_03_31_02;komitee;raeumen erschreckender offenheit freunde humanitaeren komitees  hans fischer homosexualitaet psychologische erscheinung
Protocol_1905_03_31_02;urani;kapazitaet monographie das paradoxon venus urania 1869 paederastie zeiten voelkern geschlechtlichen
Protocol_1905_03_31_02;urni;ehemaliger hannoeverischer assessor spricht male urningen persoenlich gekannt wuerzburg studierte lief
Protocol_1905_03_31_02;urni;vorstelle brauche ehemaligen hannoeverischen assessor urning ulrichs erinnern hohlen scheuen blickes
