;stopwords;n_of_lexicon_words
1073;vor;0
1074;voran;0
1075;vorbei;0
1076;vorgestern;0
1077;vorher;0
1078;vormittag;0
1079;vorne;0
1080;vorueber;0
1081;voellig;0
1082;w;0
1083;wachen;0
1084;waere;0
1085;wann;0
1086;war;0
1087;waren;0
1088;warst;0
1089;warum;0
1090;was;0
1091;weder;0
1092;weg;0
1093;wege;0
1094;wegen;0
1095;weil;0
1097;weit;0
1098;weiter;0
1099;weitere;0
1100;weiterem;0
1101;weiteren;0
1102;weiterer;0
1103;weiteres;0
1104;weiterhin;0
1105;weiß;0
1106;welche;0
1107;welchem;0
1108;welchen;0
1109;welcher;0
1110;welches;0
1111;wem;0
1112;wen;0
1113;wenig;0
1114;wenige;0
1115;weniger;0
1116;wenigstens;0
1117;wenn;0
1118;wenngleich;0
1119;wer;0
1120;werde;0
1121;werden;0
1122;werdet;0
1123;weshalb;0
1124;wessen;0
1125;wie;0
1126;wieder;0
1127;wieso;0
1128;wieviel;0
1129;wiewohl;0
1130;will;0
1131;willst;0
1132;wir;0
1133;wird;0
1134;wirklich;0
1135;wirst;0
1137;wo;0
1138;woche;0
1139;wodurch;0
1140;wogegen;0
1141;woher;0
1142;wohin;0
1143;wohingegen;0
1144;wohl;0
1145;wohlweislich;0
1146;wolle;0
1147;wollen;0
1148;wollt;0
1149;wollte;0
1150;wollten;0
1151;wolltest;0
1152;wolltet;0
1153;womit;0
1154;woraufhin;0
1155;woraus;0
1156;worden;0
1157;worin;0
1158;wort;0
1159;wunsch;0
1160;wurde;0
1161;wurden;0
1162;wwe;0
1163;waehrend;0
1164;waehrenddessen;0
1165;waer;0
1166;waere;0
1167;waeren;0
1168;wuensch;0
1169;wuenschen;0
1170;wuenscht;0
1171;wuerde;0
1172;wuerden;0
1173;x;0
1174;xi;0
1175;xii;0
1176;y;0
1177;z;0
1178;z.b.;0
1179;zahl;0
1180;zahlreich;0
1181;zehn;0
1182;zeitweise;0
1183;ziehen;0
1184;zieht;0
1185;ziemlich;0
1186;zog;0
1187;zogen;0
1188;ztg;0
1189;zu;0
1190;zudem;0
1191;zuerst;0
1192;zufolge;0
1193;zugleich;0
1194;zuletzt;0
1195;zum;0
1196;zumal;0
1197;zunaechst;0
1198;zur;0
1199;zurueck;0
1200;zusammen;0
1201;zuviel;0
1202;zwanzig;0
1203;zwar;0
1204;zwei;0
1205;zwischen;0
1206;zwoelf;0
1207;à;0
1208;aehnlich;0
1209;ueber;0
1210;ueberall;0
1211;ueberallhin;0
1212;ueberdies;0
1213;uebermorgen;0
1214;uebrig;0
1215;uebrigen;0
1216;uebrigens;0
1217;uebriger;0
1218;uebriges;0
1219;hie;0
1220;act;0
1221;thir;0
1222;pfg;0
1223;mont;0
1224;gerade;0
1225;fanden;0
1226;aussicht;0
1227;113;0
1228;129;0
1229;106;0
1230;los;0
1231;hr;0
1232;1180;0
1233;kil;0
1234;zeit;0
1235;ia;0
1236;ai;0
1237;pf;0
1238;pfd;0
1239;ang;0
1240;br;0
1241;od;0
1242;gegenueber;0
1243;ging;0
1244;abg;0
1245;kr;0
1246;ch;0
1247;ar;0
1248;ds;0
1249;nat;0
1250;pct;0
1251;cons;0
1252;eigentlichen;0
1253;obl ;0
1254;nachr;0
1255;tit;0
1256;mtr;0
1257;csen;0
1258;cmmdr;0
1259;frhr;0
1260;frhrn;0
1261;abg;0
1262;kr;0
1263;δ;0
1264;ch;0
